feature,type,weighting,n_tasks,auc,best_threshold,precision_at_best,recall_at_best,f1_at_best
AU15+AU17,combo_2,weighted,795,0.35448728406474883,0.004010989010989,0.688,0.9961389961389961,0.8138801261829652
AU17+AU45,combo_2,weighted,795,0.34389761995395796,0.0007407407407407,0.6864481842338352,0.9974259974259975,0.8132214060860441
AU17+AU26,combo_2,weighted,795,0.34122210741929054,0.006171875,0.6870026525198939,1.0,0.8144654088050315
AU05+AU17,combo_2,weighted,795,0.33893632062646145,0.0037333333333333,0.6883348174532502,0.9948519948519948,0.8136842105263158
AU01+AU15,combo_2,weighted,795,0.3377617053673392,0.0003296703296703,0.6891284815813118,0.9871299871299871,0.8116402116402116
AU02+AU17,combo_2,weighted,795,0.32997081588630883,0.0037333333333333,0.6879432624113475,0.9987129987129987,0.8146981627296587
AU01+AU17,combo_2,weighted,795,0.31072924030670507,0.0202777777777777,0.6883928571428571,0.9922779922779923,0.8128624143384291
AU06*AU12_product,duchenne,weighted,795,0.7319502601192742,0.7150648541769649,0.8002544529262087,0.8095238095238095,0.8048624440179143
AU06/AU12_ratio,duchenne,weighted,795,0.584494353508438,0.4400598682762999,0.740782122905028,0.8532818532818532,0.7930622009569378
logistic_all_AUs,logistic_regression,weighted,795,0.7969583265357914,0.7033420915283971,0.8784893267651889,0.6885456885456885,0.772005772005772
AU06_r_peak,univariate,weighted,795,0.735800387913064,1.19,0.7965474722564735,0.8314028314028314,0.8136020151133501
AU06_r_mean,univariate,weighted,795,0.7155110845251691,0.6326871401151631,0.7840490797546013,0.8223938223938224,0.8027638190954773
AU06_r_mass,univariate,weighted,795,0.6920514075443653,2.091,0.8071895424836601,0.6357786357786358,0.7113030957523397
AU12_r_peak,univariate,weighted,795,0.6904435622745482,2.01,0.8,0.6280566280566281,0.7036770007209805
AU12_r_mean,univariate,weighted,795,0.6800804828973844,1.2642028985507243,0.7966360856269113,0.6705276705276705,0.7281621243885394
